path	lba	size	sha1
A.BIN	26	141792	96ed79c3d0ee8da3af09613f68f7e29d38e8065a
ACT1.CAT	203945	9918464	c1ac0eadaad50be3ab7d8194f9bd5e207d7d77af
ACT2.CAT	208788	17073861	fd6c380dcda8453e256e9617c32342211d8c93b2
ACT3.CAT	217125	23243230	95ade20d5cfc34f89e8e443a9a7a847b31ae2aa9
ADPCM_00.CAT	22040	54538	d476a335b612d65c61f22e193cb88bbaf19181aa
ADPCM_01.CAT	22067	50579	899fce38dd86a7ca5767c3c098ab7888ba674f3c
ADPCM_02.CAT	22092	49993	d66e4cb3c4d4b3a1e4cc6fe8a70d152caa80762a
ADPCM_03.CAT	22117	58118	62df73973dde8a01a03bd52b896e130e806740ef
ADPCM_04.CAT	22146	61930	a6c63e19b4085546044a078808b1e706c642aee9
ADPCM_05.CAT	22177	59755	18246def041f0c2abd8b8c2bc45f76004936ecd9
ADPCM_06.CAT	22207	42335	fca404a4617d41550717f22f362e196bb09e38ca
ADPCM_07.CAT	22228	50533	7ed12e0920cbc391715dce270a14376504ea59b5
ADPCM_08.CAT	22253	58415	9182a8f746f98e34c42c9311276edf6346e1df47
ADPCM_09.CAT	22282	49053	7db29cfd0458102d271fa9d0a06edef7d8f62f34
ADPCM_0C.CAT	22306	52955	d3192b5ac8bef972137170ba1fd5ca83f8ea9a8f
ADPCM_0F.CAT	22332	52715	45a76ef3c4b3c65b0ef7a51a55cc6a9aa5fe0196
ADPCM_10.CAT	22358	53472	0f5cb0ed4a4f8a13b96483eedb30d2b84f352798
ADPCM_13.CAT	22385	60125	0a85d31d5e744f655f3ee0fca0ef19b43fb0376e
ADPCM_15.CAT	22415	59231	320adfea9ccaffa3470d75540835db553449fbaa
ADPCM_16.CAT	22444	59227	9b9ef703594cf218ccf3c625bc5da5319537549b
ADPCM_17.CAT	22473	57775	fc54c3f6717d02e58af9e61b6ceaf423d1c1dcb0
ADPCM_18.CAT	22502	48467	536486361591794ecc8eb0d48faaa12a2f78c53f
ADPCM_19.CAT	22526	61021	43746f234190a6f2a59be640b75c20169f0cf8b3
ADPCM_1E.CAT	22556	55662	8e45ceca44e29bd7371c143bcb8cd0854e144824
ADPCM_XX.CAT	22012	56355	04cb06cce2f9d257d57746eeacd7599dd6fae1e8
BGM_0.CAT	22717	83972	d1b01a2c9fb0cd2090eade9f5fbbdc1d346216ae
BGM_10.CAT	22989	67514	3ed9176493ad93e2e234d988f740e72ba56bce90
BGM_11.CAT	23022	77722	a26cbcd61082118548d7ac445525c0ffea764590
BGM_12.CAT	23060	104332	130c8f4ab9c3e3c8d0b9dd63b321136e5489e4ad
BGM_14.CAT	23111	78682	ba22d66074387d3aa31edee70d1f54bec8e0a69c
BGM_17.CAT	23150	101872	ae05ceb54c4c34a1c5c4ed019e2dfebb3d4e2f3b
BGM_1A.CAT	23200	81662	dcc1033094445d4fa1dca6786f0f2d679dbd7997
BGM_1E.CAT	23240	94906	ed2c41780ea1d3f8d0603990d07b736983727ceb
BGM_1F.CAT	23287	17560	e2df0dcfb0b24dffca4be35d7f665e6142c00f66
BGM_2.CAT	22759	94634	7c323861e29dfd46648452042b60b642fba22c8e
BGM_5.CAT	22806	43640	aefabef04093a6ef555a4702936dcb9ed64776f2
BGM_6.CAT	22828	82952	7d4c5a37c240ad2af84bec0996a01616e1f187df
BGM_7.CAT	22869	23460	5327c742b07ceebd53b8abb1d631796b40e2d07a
BGM_8.CAT	22881	13736	0eb87258a3ee78926f6660f5e47a8f2b4aa206be
BGM_A.CAT	22888	72088	719ee5dad74b6e011e33f4c40282d1238c6736a1
BGM_E.CAT	22924	33806	3518b8149df70e0838783b36c5d626e62debd613
BGM_F.CAT	22941	96312	4b6a4c3e6596e7fc8af259cb56010590efbb7bcf
BGM_XX.CAT	22584	171706	0708eb0e4967caddda47a3e152a6d1f8990b2e72
BGM_XY.CAT	22668	98466	d7adb02f59aac9924835151b061582cc3c384496
DATA.BIN	96	10967040	fc1cbf82afc47bd4b95a07a249eae60928632d4e
DSP.EXB	22011	1344	60daec990eb12a8c649430abaeb0145a3c2c2ba8
JSET.BIN	22010	66	68c5989d02560dcfe97ddae350f35f986261102a
LOGO.TRM	5578	3359560	199a5a995be62b36b8433fa4ee5bfb321059b9ee
